hospital_id,resource,safe_utilization
H1,ICU,0.85
H1,Ward,0.9
H2,ICU,0.85
H2,Ward,0.9
H3,ICU,0.85
H3,Ward,0.9
H4,ICU,0.85
H4,Ward,0.9
H5,ICU,0.85
H5,Ward,0.9
H6,ICU,0.85
H6,Ward,0.9
H7,ICU,0.85
H7,Ward,0.9
H8,ICU,0.85
H8,Ward,0.9
H9,ICU,0.85
H9,Ward,0.9
H10,ICU,0.85
H10,Ward,0.9
H11,ICU,0.85
H11,Ward,0.9
H12,ICU,0.85
H12,Ward,0.9
H13,ICU,0.85
H13,Ward,0.9
H14,ICU,0.85
H14,Ward,0.9
H15,ICU,0.85
H15,Ward,0.9
H16,ICU,0.85
H16,Ward,0.9
H17,ICU,0.85
H17,Ward,0.9
H18,ICU,0.85
H18,Ward,0.9
H19,ICU,0.85
H19,Ward,0.9
H20,ICU,0.85
H20,Ward,0.9
H21,ICU,0.85
H21,Ward,0.9
H22,ICU,0.85
H22,Ward,0.9
H23,ICU,0.85
H23,Ward,0.9
H24,ICU,0.85
H24,Ward,0.9
H25,ICU,0.85
H25,Ward,0.9
