day,hospital_id,cohort,arrivals
1,H1,c1,12
2,H1,c1,13
3,H1,c1,12
4,H1,c1,14
5,H1,c1,13
6,H1,c1,12
7,H1,c1,15
1,H1,c2,8
2,H1,c2,8
3,H1,c2,9
4,H1,c2,9
5,H1,c2,8
6,H1,c2,8
7,H1,c2,10
1,H1,c3,3
2,H1,c3,3
3,H1,c3,3
4,H1,c3,4
5,H1,c3,3
6,H1,c3,3
7,H1,c3,4
1,H1,c4,5
2,H1,c4,5
3,H1,c4,6
4,H1,c4,6
5,H1,c4,5
6,H1,c4,5
7,H1,c4,6
1,H2,c1,9
2,H2,c1,9
3,H2,c1,10
4,H2,c1,10
5,H2,c1,9
6,H2,c1,9
7,H2,c1,11
1,H2,c2,6
2,H2,c2,6
3,H2,c2,6
4,H2,c2,7
5,H2,c2,6
6,H2,c2,6
7,H2,c2,7
1,H2,c3,2
2,H2,c3,2
3,H2,c3,2
4,H2,c3,2
5,H2,c3,2
6,H2,c3,2
7,H2,c3,2
1,H2,c4,3
2,H2,c4,3
3,H2,c4,3
4,H2,c4,3
5,H2,c4,3
6,H2,c4,3
7,H2,c4,4
1,H3,c1,9
2,H3,c1,9
3,H3,c1,10
4,H3,c1,10
5,H3,c1,9
6,H3,c1,9
7,H3,c1,11
1,H3,c2,6
2,H3,c2,6
3,H3,c2,6
4,H3,c2,7
5,H3,c2,6
6,H3,c2,6
7,H3,c2,7
1,H3,c3,2
2,H3,c3,2
3,H3,c3,2
4,H3,c3,2
5,H3,c3,2
6,H3,c3,2
7,H3,c3,2
1,H3,c4,3
2,H3,c4,3
3,H3,c4,3
4,H3,c4,3
5,H3,c4,3
6,H3,c4,3
7,H3,c4,4
1,H4,c1,6
2,H4,c1,6
3,H4,c1,6
4,H4,c1,7
5,H4,c1,6
6,H4,c1,6
7,H4,c1,7
1,H4,c2,4
2,H4,c2,4
3,H4,c2,4
4,H4,c2,4
5,H4,c2,4
6,H4,c2,4
7,H4,c2,5
1,H4,c3,1
2,H4,c3,1
3,H4,c3,1
4,H4,c3,1
5,H4,c3,1
6,H4,c3,1
7,H4,c3,1
1,H4,c4,2
2,H4,c4,2
3,H4,c4,2
4,H4,c4,2
5,H4,c4,2
6,H4,c4,2
7,H4,c4,2
1,H5,c1,6
2,H5,c1,6
3,H5,c1,6
4,H5,c1,7
5,H5,c1,6
6,H5,c1,6
7,H5,c1,7
1,H5,c2,4
2,H5,c2,4
3,H5,c2,4
4,H5,c2,4
