hospital_id,hospital_name,hospital_type
H1,Meridian Tertiary H1,tertiary
H2,Meridian Regional H2,regional
H3,Meridian Regional H3,regional
H4,Meridian Community H4,community
H5,Meridian Community H5,community
H6,Meridian Community H6,community
H7,Meridian Community H7,community
H8,Meridian Tertiary H8,tertiary
H9,Meridian Regional H9,regional
H10,Meridian Regional H10,regional
H11,Meridian Community H11,community
H12,Meridian Community H12,community
H13,Meridian Community H13,community
H14,Meridian Community H14,community
H15,Meridian Tertiary H15,tertiary
H16,Meridian Regional H16,regional
H17,Meridian Regional H17,regional
H18,Meridian Community H18,community
H19,Meridian Community H19,community
H20,Meridian Community H20,community
H21,Meridian Community H21,community
H22,Meridian Tertiary H22,tertiary
H23,Meridian Regional H23,regional
H24,Meridian Regional H24,regional
H25,Meridian Community H25,community
