hospital_id,resource,base_capacity
H1,ICU,40
H1,Ward,140
H2,ICU,20
H2,Ward,90
H3,ICU,20
H3,Ward,90
H4,ICU,10
H4,Ward,60
H5,ICU,10
H5,Ward,60
H6,ICU,10
H6,Ward,60
H7,ICU,10
H7,Ward,60
H8,ICU,40
H8,Ward,140
H9,ICU,20
H9,Ward,90
H10,ICU,20
H10,Ward,90
H11,ICU,10
H11,Ward,60
H12,ICU,10
H12,Ward,60
H13,ICU,10
H13,Ward,60
H14,ICU,10
H14,Ward,60
H15,ICU,40
H15,Ward,140
H16,ICU,20
H16,Ward,90
H17,ICU,20
H17,Ward,90
H18,ICU,10
H18,Ward,60
H19,ICU,10
H19,Ward,60
H20,ICU,10
H20,Ward,60
H21,ICU,10
H21,Ward,60
H22,ICU,40
H22,Ward,140
H23,ICU,20
H23,Ward,90
H24,ICU,20
H24,Ward,90
H25,ICU,10
H25,Ward,60
H26,ICU,10
H26,Ward,60
H27,ICU,10
H27,Ward,60
H28,ICU,10
H28,Ward,60
H29,ICU,40
H29,Ward,140
H30,ICU,20
H30,Ward,90
H31,ICU,20
H31,Ward,90
H32,ICU,10
H32,Ward,60
H33,ICU,10
H33,Ward,60
H34,ICU,10
H34,Ward,60
H35,ICU,10
H35,Ward,60
H36,ICU,40
H36,Ward,140
H37,ICU,20
H37,Ward,90
H38,ICU,20
H38,Ward,90
H39,ICU,10
H39,Ward,60
H40,ICU,10
H40,Ward,60
H41,ICU,10
H41,Ward,60
H42,ICU,10
H42,Ward,60
H43,ICU,40
H43,Ward,140
H44,ICU,20
H44,Ward,90
H45,ICU,20
H45,Ward,90
H46,ICU,10
H46,Ward,60
H47,ICU,10
H47,Ward,60
H48,ICU,10
H48,Ward,60
H49,ICU,10
H49,Ward,60
H50,ICU,40
H50,Ward,140
H51,ICU,20
H51,Ward,90
H52,ICU,20
H52,Ward,90
H53,ICU,10
H53,Ward,60
H54,ICU,10
H54,Ward,60
H55,ICU,10
H55,Ward,60
H56,ICU,10
H56,Ward,60
H57,ICU,40
H57,Ward,140
H58,ICU,20
H58,Ward,90
H59,ICU,20
H59,Ward,90
H60,ICU,10
H60,Ward,60
H61,ICU,10
H61,Ward,60
H62,ICU,10
H62,Ward,60
H63,ICU,10
H63,Ward,60
H64,ICU,40
H64,Ward,140
H65,ICU,20
H65,Ward,90
H66,ICU,20
H66,Ward,90
H67,ICU,10
H67,Ward,60
H68,ICU,10
H68,Ward,60
H69,ICU,10
H69,Ward,60
H70,ICU,10
H70,Ward,60
H71,ICU,40
H71,Ward,140
H72,ICU,20
H72,Ward,90
H73,ICU,20
H73,Ward,90
H74,ICU,10
H74,Ward,60
H75,ICU,10
H75,Ward,60
H76,ICU,10
H76,Ward,60
H77,ICU,10
H77,Ward,60
H78,ICU,40
H78,Ward,140
H79,ICU,20
H79,Ward,90
H80,ICU,20
H80,Ward,90
H81,ICU,10
H81,Ward,60
H82,ICU,10
H82,Ward,60
H83,ICU,10
H83,Ward,60
H84,ICU,10
H84,Ward,60
H85,ICU,40
H85,Ward,140
H86,ICU,20
H86,Ward,90
H87,ICU,20
H87,Ward,90
H88,ICU,10
H88,Ward,60
H89,ICU,10
H89,Ward,60
H90,ICU,10
H90,Ward,60
H91,ICU,10
H91,Ward,60
H92,ICU,40
H92,Ward,140
H93,ICU,20
H93,Ward,90
H94,ICU,20
H94,Ward,90
H95,ICU,10
H95,Ward,60
H96,ICU,10
H96,Ward,60
H97,ICU,10
H97,Ward,60
H98,ICU,10
H98,Ward,60
H99,ICU,40
H99,Ward,140
H100,ICU,20
H100,Ward,90
H101,ICU,20
H101,Ward,90
H102,ICU,10
H102,Ward,60
H103,ICU,10
H103,Ward,60
H104,ICU,10
H104,Ward,60
H105,ICU,10
H105,Ward,60
H106,ICU,40
H106,Ward,140
H107,ICU,20
H107,Ward,90
H108,ICU,20
H108,Ward,90
H109,ICU,10
H109,Ward,60
H110,ICU,10
H110,Ward,60
H111,ICU,10
H111,Ward,60
H112,ICU,10
H112,Ward,60
H113,ICU,40
H113,Ward,140
H114,ICU,20
H114,Ward,90
H115,ICU,20
H115,Ward,90
H116,ICU,10
H116,Ward,60
H117,ICU,10
H117,Ward,60
H118,ICU,10
H118,Ward,60
H119,ICU,10
H119,Ward,60
H120,ICU,40
H120,Ward,140
H121,ICU,20
H121,Ward,90
H122,ICU,20
H122,Ward,90
H123,ICU,10
H123,Ward,60
H124,ICU,10
H124,Ward,60
H125,ICU,10
H125,Ward,60
H126,ICU,10
H126,Ward,60
H127,ICU,40
H127,Ward,140
H128,ICU,20
H128,Ward,90
H129,ICU,20
H129,Ward,90
H130,ICU,10
H130,Ward,60
H131,ICU,10
H131,Ward,60
H132,ICU,10
H132,Ward,60
H133,ICU,10
H133,Ward,60
H134,ICU,40
H134,Ward,140
H135,ICU,20
H135,Ward,90
H136,ICU,20
H136,Ward,90
H137,ICU,10
H137,Ward,60
H138,ICU,10
H138,Ward,60
H139,ICU,10
H139,Ward,60
H140,ICU,10
H140,Ward,60
H141,ICU,40
H141,Ward,140
H142,ICU,20
H142,Ward,90
H143,ICU,20
H143,Ward,90
H144,ICU,10
H144,Ward,60
H145,ICU,10
H145,Ward,60
H146,ICU,10
H146,Ward,60
H147,ICU,10
H147,Ward,60
H148,ICU,40
H148,Ward,140
H149,ICU,20
H149,Ward,90
H150,ICU,20
H150,Ward,90
H151,ICU,10
H151,Ward,60
H152,ICU,10
H152,Ward,60
H153,ICU,10
H153,Ward,60
H154,ICU,10
