from_hospital,to_hospital,allowed,transfer_capacity,transfer_cost,transfer_time
H2,H1,1,4.0,15.0,1
H1,H2,1,8.0,12.0,1
H3,H1,1,4.0,15.0,1
H1,H3,1,8.0,12.0,1
H4,H1,1,2.0,15.0,1
H1,H4,1,8.0,12.0,1
H5,H1,1,2.0,15.0,1
H1,H5,1,8.0,12.0,1
H6,H1,1,2.0,15.0,1
H1,H6,1,8.0,12.0,1
H7,H1,1,2.0,15.0,1
H1,H7,1,8.0,12.0,1
H9,H8,1,4.0,15.0,1
H8,H9,1,8.0,12.0,1
H10,H8,1,4.0,15.0,1
H8,H10,1,8.0,12.0,1
H11,H8,1,2.0,15.0,1
H8,H11,1,8.0,12.0,1
H12,H8,1,2.0,15.0,1
H8,H12,1,8.0,12.0,1
H13,H8,1,2.0,15.0,1
H8,H13,1,8.0,12.0,1
H14,H8,1,2.0,15.0,1
H8,H14,1,8.0,12.0,1
H16,H15,1,4.0,15.0,1
H15,H16,1,8.0,12.0,1
H17,H15,1,4.0,15.0,1
H15,H17,1,8.0,12.0,1
H18,H15,1,2.0,15.0,1
H15,H18,1,8.0,12.0,1
H19,H15,1,2.0,15.0,1
H15,H19,1,8.0,12.0,1
H20,H15,1,2.0,15.0,1
H15,H20,1,8.0,12.0,1
H21,H15,1,2.0,15.0,1
H15,H21,1,8.0,12.0,1
H23,H22,1,4.0,15.0,1
H22,H23,1,8.0,12.0,1
H24,H22,1,4.0,15.0,1
H22,H24,1,8.0,12.0,1
H25,H22,1,2.0,15.0,1
H22,H25,1,8.0,12.0,1
H1,H8,1,8.0,22.0,2
H8,H1,1,8.0,22.0,2
H8,H15,1,8.0,22.0,2
H15,H8,1,8.0,22.0,2
H15,H22,1,8.0,22.0,2
H22,H15,1,8.0,22.0,2
H22,H1,1,8.0,22.0,2
H1,H22,1,8.0,22.0,2
