hospital_id,resource,max_surge
H1,ICU,8
H1,Ward,20
H2,ICU,5
H2,Ward,12
H3,ICU,5
H3,Ward,12
H4,ICU,2
H4,Ward,8
H5,ICU,2
H5,Ward,8
H6,ICU,2
H6,Ward,8
H7,ICU,2
H7,Ward,8
H8,ICU,8
H8,Ward,20
H9,ICU,5
H9,Ward,12
H10,ICU,5
H10,Ward,12
H11,ICU,2
H11,Ward,8
H12,ICU,2
H12,Ward,8
H13,ICU,2
H13,Ward,8
H14,ICU,2
H14,Ward,8
H15,ICU,8
H15,Ward,20
H16,ICU,5
H16,Ward,12
H17,ICU,5
H17,Ward,12
H18,ICU,2
H18,Ward,8
H19,ICU,2
H19,Ward,8
H20,ICU,2
H20,Ward,8
H21,ICU,2
H21,Ward,8
H22,ICU,8
H22,Ward,20
H23,ICU,5
H23,Ward,12
H24,ICU,5
H24,Ward,12
H25,ICU,2
H25,Ward,8
H26,ICU,2
H26,Ward,8
H27,ICU,2
H27,Ward,8
H28,ICU,2
H28,Ward,8
H29,ICU,8
H29,Ward,20
H30,ICU,5
H30,Ward,12
H31,ICU,5
H31,Ward,12
H32,ICU,2
H32,Ward,8
H33,ICU,2
H33,Ward,8
H34,ICU,2
H34,Ward,8
H35,ICU,2
H35,Ward,8
H36,ICU,8
H36,Ward,20
H37,ICU,5
H37,Ward,12
H38,ICU,5
H38,Ward,12
H39,ICU,2
H39,Ward,8
H40,ICU,2
H40,Ward,8
H41,ICU,2
H41,Ward,8
H42,ICU,2
H42,Ward,8
H43,ICU,8
H43,Ward,20
H44,ICU,5
H44,Ward,12
H45,ICU,5
H45,Ward,12
H46,ICU,2
H46,Ward,8
H47,ICU,2
H47,Ward,8
H48,ICU,2
H48,Ward,8
H49,ICU,2
H49,Ward,8
H50,ICU,8
H50,Ward,20
H51,ICU,5
H51,Ward,12
H52,ICU,5
H52,Ward,12
H53,ICU,2
H53,Ward,8
H54,ICU,2
H54,Ward,8
H55,ICU,2
H55,Ward,8
H56,ICU,2
H56,Ward,8
H57,ICU,8
H57,Ward,20
H58,ICU,5
H58,Ward,12
H59,ICU,5
H59,Ward,12
H60,ICU,2
H60,Ward,8
H61,ICU,2
H61,Ward,8
H62,ICU,2
H62,Ward,8
H63,ICU,2
H63,Ward,8
H64,ICU,8
H64,Ward,20
H65,ICU,5
H65,Ward,12
H66,ICU,5
H66,Ward,12
H67,ICU,2
H67,Ward,8
H68,ICU,2
H68,Ward,8
H69,ICU,2
H69,Ward,8
H70,ICU,2
H70,Ward,8
H71,ICU,8
H71,Ward,20
H72,ICU,5
H72,Ward,12
H73,ICU,5
H73,Ward,12
H74,ICU,2
H74,Ward,8
H75,ICU,2
H75,Ward,8
H76,ICU,2
H76,Ward,8
H77,ICU,2
H77,Ward,8
H78,ICU,8
H78,Ward,20
H79,ICU,5
H79,Ward,12
H80,ICU,5
H80,Ward,12
H81,ICU,2
H81,Ward,8
H82,ICU,2
H82,Ward,8
H83,ICU,2
H83,Ward,8
H84,ICU,2
H84,Ward,8
H85,ICU,8
H85,Ward,20
H86,ICU,5
H86,Ward,12
H87,ICU,5
H87,Ward,12
H88,ICU,2
H88,Ward,8
H89,ICU,2
H89,Ward,8
H90,ICU,2
H90,Ward,8
H91,ICU,2
H91,Ward,8
H92,ICU,8
H92,Ward,20
H93,ICU,5
H93,Ward,12
H94,ICU,5
H94,Ward,12
H95,ICU,2
H95,Ward,8
H96,ICU,2
H96,Ward,8
H97,ICU,2
H97,Ward,8
H98,ICU,2
H98,Ward,8
H99,ICU,8
H99,Ward,20
H100,ICU,5
H100,Ward,12
